S.No,Course Name,SME Name,Institute,Current Duration in weeks,No. of credits,NPTEL URL,Comments,Available for Jan - April 2026,Direct Swayam Link,Category,NPTEL_ID,Available for July-Dec2025
1,Introduction to Parallel Programming in OpenMP,Prof. Yogish Sabharwal,IITD,8,2,https://nptel.ac.in/courses/106102163/,1 credit for the student who completed this course from Jan 2021 to Dec 2021 and 2 credits who completed this course from 2022,No,No,BP,106102163,No
2,AI: Constraint Satisfaction,Prof. Deepak Khemani,IITM,8,2,https://nptel.ac.in/courses/106106158/,-,Yes,No,BD,106106158,No
3,Cloud computing,Prof. Soumya Kanti Ghosh,IIT KGP,12,3,https://nptel.ac.in/courses/106/105/106105167,-,Yes,https://onlinecourses.nptel.ac.in/noc25_cs107/preview,BP,106105167,Yes
4,Data Mining,Prof. Pabitra Mitra,IIT KGP,8,2,https://nptel.ac.in/courses/106/105/106105174/,-,Yes,No,BD,106105174,No
5,Human Computer Interactions,Prof. Ponnurangam Kumaraguru,IIITD,8,2,https://nptel.ac.in/courses/106/106/106106177/,-,No,No,BD,106106177,No
6,Introduction To Haskell Programming,Prof. S. P Suresh,CMI,8,2,https://nptel.ac.in/courses/106/106/106106137/,-,Yes,No,BP,106106137,No
7,"Introduction to Programming in C
(Can be credited if completed before Sep 2023)",Prof. Satyadev Nandakumar,IITK,8,2,https://nptel.ac.in/courses/106/104/106104128/,-,No,No,BP,106104128,No
8,Introduction to R Software,Prof. Shalabh,IITK,8,2,https://nptel.ac.in/courses/111104100/,-,No,No,BP,111104100,No
9,Object Oriented Analysis and Design,Prof. Partha Pratim Das,IIT KGP,8,2,https://nptel.ac.in/courses/106/105/106105153/,-,No,No,BP,106105153,No
10,Programming in C++,Prof. Partha Pratim Das,IIT KGP,12,3,https://nptel.ac.in/courses/106105234,-,Yes,No,BP,106105234,No
11,Theory of Computation,Prof. Raghunath Tewari,IITK,8,2,https://nptel.ac.in/courses/106/104/106104148/,Can be credited if completed on or before Dec 2025,No,https://onlinecourses.nptel.ac.in/noc25_cs121/preview,BP,106104148,Yes
12,AI:Knowledge Representation and Reasoning,Prof. Deepak Khemani,IITM,12,3,https://nptel.ac.in/courses/106106140/,-,Yes,No,BP,106106140,No
13,Computer Networks and Internet Protocol,"Prof. Soumya Kanti Ghosh
Prof. Sandip Chakraborty",IIT KGP,12,3,https://nptel.ac.in/courses/106/105/106105183/,-,Yes,No,BD,106105183,No
14,"Deep Learning for Computer Vision*
(Can be credited if completed before Dec 2023)",Prof. Vineeth N Balasubramanian,IITH,12,3,https://nptel.ac.in/courses/106/106/106106224/,-,No,No,BD,106106224,No
15,Introduction to internet of things,Prof. Sudip Misra,IIT KGP,12,3,https://nptel.ac.in/courses/106/105/106105166/,-,Yes,https://onlinecourses.nptel.ac.in/noc25_cs147/preview,BP,106105166,Yes
16,Natural Language Processing (Can be credited if completed before Dec 2023),Prof. Pawan Goyal,IITKGP,12,3,https://nptel.ac.in/courses/106/105/106105158/,-,Yes,No,BD,106105158,No
17,Social Networks,"Prof. Sudarshan Iyengar, Prof. Yayati Gupta",IIT Ropar,12,3,https://nptel.ac.in/courses/106/106/106106169/,-,Yes,https://onlinecourses.nptel.ac.in/noc25_cs102/preview,BP,106106169,Yes
18,Multi-Core Computer Architecture,Prof. John Jose,IITG,12,3,https://nptel.ac.in/courses/106103184,Added in January 2024. Can only be credited starting January 2024,No,https://onlinecourses.nptel.ac.in/noc25_cs134/preview,BP,106103184,Yes
